French,�,0.0031,
French,œ,0.0002,
French,û,0.0002,
French,ú,0.0001,
French,ù,0.0002,
French,ô,0.0004,
French,ó,0.0,
French,ñ,0.0003,
French,ï,0.0,
French,î,0.0005,
French,í,0.0,
French,ê,0.0013,
French,é,0.011,
French,è,0.0019,
French,ç,0.0005,
French,ã,0.0,
French,â,0.0003,
French,á,0.0,
French,z,0.0028,
French,y,0.0033,
French,x,0.0041,
French,w,0.0009,
French,v,0.0188,
French,u,0.0632,
French,t,0.0708,
French,s,0.0799,
French,r,0.0687,
French,q,0.011,
French,p,0.0283,
French,o,0.0585,
French,n,0.0727,
French,m,0.0315,
French,l,0.0534,
French,k,0.0005,
French,j,0.0064,
French,i,0.0727,
French,h,0.0095,
French,g,0.0105,
French,f,0.0119,
French,e,0.1477,
French,d,0.035,
French,c,0.0312,
French,b,0.0095,
French,a,0.0773,
